Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.9.194-10.102.9.193-53972-8080-6,10.102.9.194,53972,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,2158,7,4,329,4096,329,0,47,124.3503116,1460,0,1024,695.6704201,2050509.731,5097.312326,215.8,316.2673974,1016,0,2158,359.6666667,495.4854858,1317,0,915,305,528.2754963,915,0,0,0,0,0,160,92,3243.744208,1853.568119,0,1460,368.75,612.2015599,374790.75,0,2,1,2,10,0,0,0,0,402.2727273,47,1024,0,0,0,4425,4,14700996,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-53968-8080-6,10.102.9.194,53968,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,6671,7,9,395,7729,395,0,56.42857143,149.2959668,1460,0,858.7777778,687.4092263,1217808.425,2398.441013,444.7333333,1014.266552,3969,0,2639,439.8333333,584.1045854,1552,0,6563,820.375,1397.087065,3969,0,0,0,0,0,160,192,1049.317943,1349.12307,0,1460,477.8823529,646.6961112,418215.8603,2,2,0,3,15,0,0,0,1,507.75,56.42857143,858.7777778,0,0,0,8124,7,1415824,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-53956-8080-6,10.102.9.194,53956,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,27655,7,9,422,7729,422,0,60.28571429,159.5010076,1460,0,858.7777778,687.4092263,294738.7453,578.5572229,1843.666667,4865.860909,18311,0,20745,3457.5,7742.155662,19255,0,27572,3446.5,6820.935064,19310,0,0,0,0,0,160,192,253.118785,325.4384379,0,1460,479.4705882,646.5129656,417979.0147,2,2,0,3,15,0,0,0,1,509.4375,60.28571429,858.7777778,0,0,0,8151,7,307156,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-53982-8080-6,10.102.9.194,53982,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,2311,7,7,383,7729,383,0,54.71428571,144.7603932,1460,0,1104.142857,560.3309821,3510168.758,6057.983557,177.7692308,219.76243,748,0,2311,385.1666667,411.2436828,1172,0,1665,277.5,433.2102261,917,0,0,0,0,0,160,152,3028.991778,3028.991778,0,1460,540.8,664.2645987,441247.4571,0,2,1,3,13,0,0,0,1,579.4285714,54.71428571,1104.142857,0,0,0,8112,7,8031683,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-53968-8080-6,10.102.9.194,53968,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-53968-8080-6,10.102.9.194,53968,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,248,2,0,0,0,0,0,0,0,0,0,0,0,0,8064.516129,248,0,248,248,248,248,0,248,248,0,0,0,0,0,0,0,0,0,40,0,8064.516129,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-53956-8080-6,10.102.9.194,53956,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-53956-8080-6,10.102.9.194,53956,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-53982-8080-6,10.102.9.194,53982,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,224,2,0,0,0,0,0,0,0,0,0,0,0,0,8928.571429,224,0,224,224,224,224,0,224,224,0,0,0,0,0,0,0,0,0,40,0,8928.571429,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-53988-8080-6,10.102.9.194,53988,10.102.9.193,8080,6,15/01/2024 03:40:54 下午,2565,10,7,328,7729,328,0,32.8,103.7227073,1460,0,1104.142857,560.3309821,3141130.604,6627.680312,160.3125,228.868148,832,0,2565,285,365.2338292,1155,0,1054,175.6666667,399.7607618,990,0,0,0,0,0,220,152,3898.635478,2729.044834,0,1460,447.6111111,637.9621175,406995.6634,0,2,1,3,16,0,0,0,0,473.9411765,32.8,1104.142857,0,0,0,8057,7,24944272,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
