Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.9.194-10.102.9.193-55650-8080-6,10.102.9.194,55650,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,19404,7,4,422,4096,422,0,60.28571429,159.5010076,1460,0,1024,695.6704201,232838.59,566.893424,1940.4,5230.820505,16796,0,19404,3234,7175.951198,17869,0,17799,5933,10276.25744,17799,0,0,0,0,0,160,92,360.7503608,206.1430633,0,1460,376.5,612.2412626,374839.3636,0,2,1,2,10,0,0,0,0,410.7272727,60.28571429,1024,0,0,0,4518,4,268992,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-55686-8080-6,10.102.9.194,55686,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,5813,7,9,328,7729,328,0,46.85714286,123.9723471,1460,0,858.7777778,687.4092263,1386031.309,2752.451402,387.5333333,915.1607873,3599,0,2163,360.5,413.3999274,1161,0,5775,721.875,1260.492357,3599,0,0,0,0,0,160,192,1204.197488,1548.253914,0,1460,473.9411765,647.4365288,419174.0588,2,2,0,3,15,0,0,0,1,503.5625,46.85714286,858.7777778,0,0,0,8057,7,1562039,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-55666-8080-6,10.102.9.194,55666,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,9781,7,9,329,7729,329,0,47,124.3503116,1460,0,858.7777778,687.4092263,823842.1429,1635.824558,652.0666667,1571.961217,6092,0,3632,605.3333333,973.2139881,2520,0,9655,1206.875,2140.959961,6092,0,0,0,0,0,160,192,715.673244,920.1513138,0,1460,474,647.4224857,419155.875,2,2,0,3,15,0,0,0,1,503.625,47,858.7777778,0,0,0,8058,7,890485,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-55656-8080-6,10.102.9.194,55656,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,10249,7,9,395,7729,395,0,56.42857143,149.2959668,1460,0,858.7777778,687.4092263,792662.6988,1561.127915,683.2666667,1497.54673,5898,0,4282,713.6666667,756.3276186,2097,0,10089,1261.125,2097.529393,5898,0,0,0,0,0,160,192,682.9934628,878.1344521,0,1460,477.8823529,646.6961112,418215.8603,2,2,0,3,15,0,0,0,1,507.75,56.42857143,858.7777778,0,0,0,8124,7,894319,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-55676-8080-6,10.102.9.194,55676,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,6240,7,9,383,7729,383,0,54.71428571,144.7603932,1460,0,858.7777778,687.4092263,1300000,2564.102564,416,827.3880589,3203,0,3010,501.6666667,460.219368,1333,0,6211,776.375,1192.894072,3203,0,0,0,0,0,160,192,1121.794872,1442.307692,0,1460,477.1764706,646.7987743,418348.6544,2,2,0,3,15,0,0,0,1,507,54.71428571,858.7777778,0,0,0,8112,7,1569355,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-55698-8080-6,10.102.9.194,55698,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,2881,7,9,357,7729,357,0,51,134.9333169,1460,0,858.7777778,687.4092263,2806664.353,5553.627213,192.0666667,254.8715269,841,0,2300,383.3333333,387.1049815,1106,0,2843,355.375,520.0280041,1223,0,0,0,0,0,160,192,2429.711906,3123.915307,0,1460,475.6470588,647.0660651,418694.4926,2,2,0,3,15,0,0,0,1,505.375,51,858.7777778,0,0,0,8086,7,3959843,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-55696-8080-6,10.102.9.194,55696,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,3606,7,9,381,7729,381,0,54.42857143,144.0044642,1460,0,858.7777778,687.4092263,2249029.395,4437.049362,240.4,382.9162161,1206,0,2362,393.6666667,478.5067049,1290,0,3569,446.125,608.2735375,1228,0,0,0,0,0,160,192,1941.209096,2495.840266,0,1460,477.0588235,646.8171564,418372.4338,2,2,0,3,15,0,0,0,1,506.875,54.42857143,858.7777778,0,0,0,8110,7,2976146,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-55686-8080-6,10.102.9.194,55686,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-55686-8080-6,10.102.9.194,55686,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.9.194-10.102.9.193-55666-8080-6,10.102.9.194,55666,10.102.9.193,8080,6,13/01/2024 09:07:06 下午,242,2,0,0,0,0,0,0,0,0,0,0,0,0,8264.46281,242,0,242,242,242,242,0,242,242,0,0,0,0,0,0,0,0,0,40,0,8264.46281,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
