Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.24.100-60.210.23.82-49963-443-6,10.102.24.100,49963,60.210.23.82,443,6,01/01/2024 06:32:57 下午,19976,1,1,1,0,1,1,1,0,0,0,0,0,50.06007209,100.1201442,19976,0,19976,19976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,50.06007209,50.06007209,0,1,0.666666667,0.577350269,0.333333333,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1025,0,0,20,0,0,0,0,0,0,0,0,Bengin
10.102.24.100-95.100.95.147-49848-443-6,10.102.24.100,49848,95.100.95.147,443,6,01/01/2024 06:33:05 下午,219826,1,2,0,31,0,0,0,0,31,0,15.5,21.92031022,141.0206254,13.6471573,109913,155440.4553,219826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,4.549052432,9.098104865,0,31,7.75,15.5,240.25,2,0,0,1,3,0,0,0,2,10.33333333,0,15.5,0,0,0,0,0,0,0,0,0,0,1024,501,0,20,0,0,0,0,0,0,0,0,Bengin
10.102.0.6-10.102.24.100-59133-8080-6,10.102.0.6,59133,10.102.24.100,8080,6,01/01/2024 06:33:05 下午,173940,4,7,126,7729,126,0,31.5,63,1460,0,1104.142857,560.3309821,45159.25032,63.24019777,17394,48498.23058,155062,0,173940,57980,84331.24576,155062,2876,161112,26852,65632.70906,160824,0,0,0,0,0,100,152,22.99643555,40.24376222,0,1460,654.5833333,693.5985816,481078.9924,0,2,1,3,9,0,0,0,1,714.0909091,31.5,1104.142857,0,0,0,7855,7,1632716,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Bengin
10.102.0.6-10.102.24.100-59133-8080-6,10.102.0.6,59133,10.102.24.100,8080,6,01/01/2024 06:33:06 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Bengin
10.102.0.6-10.102.24.100-59133-8080-6,10.102.0.6,59133,10.102.24.100,8080,6,01/01/2024 06:33:06 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Bengin
10.102.0.56-10.102.24.100-49575-8080-6,10.102.0.56,49575,10.102.24.100,8080,6,01/01/2024 06:33:08 下午,7230,2,1,0,0,0,0,0,0,0,0,0,0,0,414.9377593,3615,702.8641405,4112,3118,7230,7230,0,7230,7230,0,0,0,0,0,0,0,0,0,60,32,276.6251729,138.3125864,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64240,65535,0,20,0,0,0,0,0,0,0,0,Bengin
10.102.0.68-10.102.24.100-41917-8080-6,10.102.0.68,41917,10.102.24.100,8080,6,01/01/2024 06:33:09 下午,7857,4,7,126,7729,126,0,31.5,63,1460,0,1104.142857,560.3309821,999745.4499,1400.025455,785.7,1375.581255,4406,0,7857,2619,1616.947433,4406,1257,5553,925.5,2245.516221,5509,0,0,0,0,0,100,152,509.1001655,890.9252896,0,1460,654.5833333,693.5985816,481078.9924,0,2,1,3,9,0,0,0,1,714.0909091,31.5,1104.142857,0,0,0,7855,7,14737335,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Bengin
10.102.0.68-10.102.24.100-41917-8080-6,10.102.0.68,41917,10.102.24.100,8080,6,01/01/2024 06:33:09 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Bengin
10.102.0.68-10.102.24.100-41917-8080-6,10.102.0.68,41917,10.102.24.100,8080,6,01/01/2024 06:33:09 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Bengin
10.102.0.81-10.102.24.100-53093-8080-6,10.102.0.81,53093,10.102.24.100,8080,6,01/01/2024 06:33:11 下午,4604,2,1,0,0,0,0,0,0,0,0,0,0,0,651.607298,2302,380.4234483,2571,2033,4604,4604,0,4604,4604,0,0,0,0,0,0,0,0,0,60,32,434.4048653,217.2024327,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64240,65535,0,20,0,0,0,0,0,0,0,0,Bengin
