Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.9.193-96.7.244.139-54541-80-6,10.102.9.193,54541,96.7.244.139,80,6,16/01/2024 10:24:39 下午,459517,5,4,111,187,111,0,22.2,49.6407091,187,0,46.75,93.5,648.5070193,19.58578246,57439.625,89254.49268,229800,8,459387,114846.75,99032.51611,229822,136,229717,76572.33333,76846.72372,153880,195,0,0,0,0,124,104,10.88099026,8.704792206,0,187,29.8,65.32789093,4267.733333,2,3,0,2,8,0,0,0,0,33.11111111,22.2,46.75,0,0,0,0,0,0,0,0,0,0,64240,502,1,20,0,0,0,0,0,0,0,0,Benign
10.102.9.193-96.7.244.139-54541-80-6,10.102.9.193,54541,96.7.244.139,80,6,16/01/2024 10:24:39 下午,205496,1,1,0,0,0,0,0,0,0,0,0,0,0,9.732549539,205496,0,205496,205496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.866274769,4.866274769,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,502,0,20,0,0,0,0,0,0,0,0,Benign
10.102.9.193-96.7.244.139-54542-80-6,10.102.9.193,54542,96.7.244.139,80,6,16/01/2024 10:25:09 下午,452093,3,4,111,187,111,0,37,64.08587988,187,0,46.75,93.5,659.1564125,15.48353989,75348.83333,116538.7822,226092,0,225698,112849,159360.6553,225534,164,226586,75528.66667,130557.1703,226283,0,0,0,0,0,72,92,6.63580281,8.847737081,0,187,37.25,71.90221534,5169.928571,1,2,0,2,6,0,0,0,1,42.57142857,37,46.75,0,0,0,0,0,0,0,0,0,0,64240,502,1,20,0,0,0,0,0,0,0,0,Benign
10.102.9.193-96.7.244.139-54542-80-6,10.102.9.193,54542,96.7.244.139,80,6,16/01/2024 10:25:09 下午,202679,2,1,0,0,0,0,0,0,0,0,0,0,0,14.80173082,101339.5,143239.3278,202625,54,54,54,0,54,54,0,0,0,0,0,0,0,0,0,40,20,9.867820544,4.933910272,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,502,0,20,0,0,0,0,0,0,0,0,Benign
10.102.9.194-10.102.9.193-41680-8080-6,10.102.9.194,41680,10.102.9.193,8080,6,16/01/2024 10:24:37 下午,50436875,10,11,211,106,168,0,21.1,52.12687513,103,0,9.636363636,30.9686058,6.285084078,0.416362037,2521843.75,5436274.327,1.50E+07,56,5.04E+07,5604059.222,7136905.674,1.50E+07,284,5.04E+07,5043680.2,6949827.728,1.50E+07,61,0,0,0,0,256,244,0.198267637,0.2180944,0,168,14.40909091,40.79642735,1664.348485,2,2,0,5,20,0,0,0,1,15.0952381,21.1,9.636363636,0,0,0,0,0,0,2,42,2,21,64240,8211,4,20,29436.33333,49637.82261,86753,663,1.50E+07,20999.60981,1.50E+07,1.50E+07,Sloworis
10.102.9.194-10.102.9.193-41694-8080-6,10.102.9.194,41694,10.102.9.193,8080,6,16/01/2024 10:24:37 下午,50435432,9,10,199,106,168,0,22.11111111,55.16440076,103,0,10.6,32.46947284,6.047335928,0.376719287,2801968.444,5677675.074,1.50E+07,0,5.04E+07,6304401.25,7299907.545,1.50E+07,0,5.04E+07,5603931.778,7133365.386,1.50E+07,51,0,0,0,0,236,212,0.178445978,0.198273309,0,168,15.25,42.73895671,1826.618421,2,2,0,4,18,0,0,0,1,16.05263158,22.11111111,10.6,0,0,0,0,0,0,1,39,2,21,64240,8211,3,20,28822,48769.37267,85136,623,1.50E+07,21147.30738,1.50E+07,1.50E+07,Sloworis
10.102.9.194-10.102.9.193-41690-8080-6,10.102.9.194,41690,10.102.9.193,8080,6,16/01/2024 10:24:37 下午,50436332,10,11,211,106,168,0,21.1,52.12687513,103,0,9.636363636,30.9686058,6.285151743,0.416366519,2521816.6,5436315.247,1.50E+07,0,5.04E+07,5603999.333,7136829.616,1.50E+07,0,5.04E+07,5043624.5,6949864.353,1.50E+07,56,0,0,0,0,256,244,0.198269771,0.218096748,0,168,14.40909091,40.79642735,1664.348485,2,2,0,5,20,0,0,0,1,15.0952381,21.1,9.636363636,0,0,0,0,0,0,2,42,2,21,64240,8211,4,20,29101.33333,49238.94093,85957,454,1.50E+07,21094.90533,1.50E+07,1.50E+07,Sloworis
10.102.9.194-10.102.9.193-41680-8080-6,10.102.9.194,41680,10.102.9.193,8080,6,16/01/2024 10:25:28 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Sloworis
10.102.9.194-10.102.9.193-41710-8080-6,10.102.9.194,41710,10.102.9.193,8080,6,16/01/2024 10:24:37 下午,50435109,10,11,209,106,168,0,20.9,52.17161851,103,0,9.636363636,30.9686058,6.245649236,0.416376616,2521755.45,5435790.005,1.50E+07,0,5.04E+07,5603870,7136348.884,1.50E+07,0,5.04E+07,5043506.3,6949196.907,1.50E+07,56,0,0,0,0,256,244,0.198274579,0.218102037,0,168,14.31818182,40.80544591,1665.084416,2,2,0,5,20,0,0,0,1,15,20.9,9.636363636,0,0,0,0,0,0,2,41,2,21,64240,8211,4,20,33901.66667,57013.36101,99735,935,1.50E+07,20370.67579,1.50E+07,1.50E+07,Sloworis
10.102.9.194-10.102.9.193-41694-8080-6,10.102.9.194,41694,10.102.9.193,8080,6,16/01/2024 10:25:28 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Sloworis
10.102.9.194-10.102.9.193-41722-8080-6,10.102.9.194,41722,10.102.9.193,8080,6,16/01/2024 10:24:37 下午,50434734,9,9,199,106,168,0,22.11111111,55.16440076,103,0,11.77777778,34.21175886,6.047419622,0.356896896,2966749.059,5807365.036,1.50E+07,48,5.04E+07,6304297.625,7298938.556,1.50E+07,266,5.04E+07,6304335.75,7286610.008,1.50E+07,57,0,0,0,0,236,192,0.178448448,0.178448448,0,168,16.05263158,43.7549663,1914.497076,2,2,0,4,17,0,0,0,1,16.94444444,22.11111111,11.77777778,0,0,0,0,0,0,1,39,1,21,64240,8211,3,20,33477.33333,56673.54078,98918,585,1.50E+07,20609.55177,1.50E+07,1.50E+07,Sloworis
10.102.9.194-10.102.9.193-41800-8080-6,10.102.9.194,41800,10.102.9.193,8080,6,16/01/2024 10:24:37 下午,50427757,10,11,210,106,168,0,21,52.12804747,103,0,9.636363636,30.9686058,6.266390155,0.41643732,2521387.85,5436044.806,1.50E+07,21,5.04E+07,5603019.222,7137079.898,1.50E+07,199,5.04E+07,5042773.6,6949789.92,1.50E+07,54,0,0,0,0,256,244,0.198303486,0.218133835,0,168,14.36363636,40.78929067,1663.766234,2,2,0,5,20,0,0,0,1,15.04761905,21,9.636363636,0,0,0,0,0,0,2,42,2,21,64240,8211,4,20,31134.33333,52447.38126,91695,675,1.50E+07,20450.75814,1.50E+07,1.50E+07,Sloworis
