Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
2.23.13.24-10.102.9.193-443-60734-6,2.23.13.24,443,10.102.9.193,60734,6,14/01/2024 06:16:27 下午,41170382,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,0.752968481,0.097157223,1.37E+07,2.38E+07,4.12E+07,0,0,0,0,0,0,4.12E+07,4.12E+07,0,4.12E+07,4.12E+07,1,0,0,0,40,40,0.048578612,0.048578612,0,31,12.4,16.97939928,288.3,1,0,1,1,4,0,0,0,1,15.5,15.5,0,0,0,0,0,0,0,2,31,2,0,501,0,0,20,83,0,83,83,4.12E+07,0,4.12E+07,4.12E+07,#REF!
2.23.13.24-10.102.9.193-443-60738-6,2.23.13.24,443,10.102.9.193,60738,6,14/01/2024 06:16:27 下午,41061258,2,3,31,0,31,0,15.5,21.92031022,0,0,0,0,0.754969563,0.121769284,1.03E+07,2.05E+07,4.11E+07,42,326,326,0,326,326,4.11E+07,2.05E+07,2.90E+07,4.11E+07,314,1,0,0,0,40,60,0.048707714,0.073061571,0,31,10.33333333,16.00833116,256.2666667,1,0,1,1,5,0,0,0,1,12.4,15.5,0,0,0,0,0,0,0,2,31,3,0,501,0,0,20,368,0,368,368,4.11E+07,0,4.11E+07,4.11E+07,Benign
2.23.13.24-10.102.9.193-443-60726-6,2.23.13.24,443,10.102.9.193,60726,6,14/01/2024 06:16:26 下午,41896013,2,3,31,0,31,0,15.5,21.92031022,0,0,0,0,0.73992721,0.119343098,1.05E+07,2.09E+07,4.19E+07,36,322,322,0,322,322,4.19E+07,2.09E+07,2.96E+07,4.19E+07,279,1,0,0,0,40,60,0.047737239,0.071605859,0,31,10.33333333,16.00833116,256.2666667,1,0,1,1,5,0,0,0,1,12.4,15.5,0,0,0,0,0,0,0,2,31,3,0,501,0,0,20,358,0,358,358,4.19E+07,0,4.19E+07,4.19E+07,Benign
2.23.13.24-10.102.9.193-443-60721-6,2.23.13.24,443,10.102.9.193,60721,6,14/01/2024 06:16:26 下午,41862298,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,0.740523131,0.095551372,1.40E+07,2.42E+07,4.19E+07,0,0,0,0,0,0,4.19E+07,4.19E+07,0,4.19E+07,4.19E+07,1,0,0,0,40,40,0.047775686,0.047775686,0,31,12.4,16.97939928,288.3,1,0,1,1,4,0,0,0,1,15.5,15.5,0,0,0,0,0,0,0,2,31,2,0,501,0,0,20,21,0,21,21,4.19E+07,0,4.19E+07,4.19E+07,Benign
2.23.13.24-10.102.9.193-443-60739-6,2.23.13.24,443,10.102.9.193,60739,6,14/01/2024 06:16:27 下午,40682949,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,0.761989992,0.098321289,1.36E+07,2.35E+07,4.07E+07,0,0,0,0,0,0,4.07E+07,4.07E+07,0,4.07E+07,4.07E+07,1,0,0,0,40,40,0.049160645,0.049160645,0,31,12.4,16.97939928,288.3,1,0,1,1,4,0,0,0,1,15.5,15.5,0,0,0,0,0,0,0,2,31,2,0,501,0,0,20,24,0,24,24,4.07E+07,0,4.07E+07,4.07E+07,Benign
2.23.13.24-10.102.9.193-443-60741-6,2.23.13.24,443,10.102.9.193,60741,6,14/01/2024 06:16:27 下午,40661914,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,0.762384181,0.098372152,1.36E+07,2.35E+07,4.07E+07,0,0,0,0,0,0,4.07E+07,4.07E+07,0,4.07E+07,4.07E+07,1,0,0,0,40,40,0.049186076,0.049186076,0,31,12.4,16.97939928,288.3,1,0,1,1,4,0,0,0,1,15.5,15.5,0,0,0,0,0,0,0,2,31,2,0,501,0,0,20,46,0,46,46,4.07E+07,0,4.07E+07,4.07E+07,Benign
2.23.13.24-10.102.9.193-443-60735-6,2.23.13.24,443,10.102.9.193,60735,6,14/01/2024 06:16:27 下午,41045429,2,3,31,0,31,0,15.5,21.92031022,0,0,0,0,0.755260714,0.121816244,1.03E+07,2.05E+07,4.10E+07,42,321,321,0,321,321,4.10E+07,2.05E+07,2.90E+07,4.10E+07,310,1,0,0,0,40,60,0.048726498,0.073089746,0,31,10.33333333,16.00833116,256.2666667,1,0,1,1,5,0,0,0,1,12.4,15.5,0,0,0,0,0,0,0,2,31,3,0,501,0,0,20,363,0,363,363,4.10E+07,0,4.10E+07,4.10E+07,Benign
2.23.13.24-10.102.9.193-443-60730-6,2.23.13.24,443,10.102.9.193,60730,6,14/01/2024 06:16:26 下午,41425997,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,0.748322364,0.096557724,1.38E+07,2.39E+07,4.14E+07,0,0,0,0,0,0,4.14E+07,4.14E+07,0,4.14E+07,4.14E+07,1,0,0,0,40,40,0.048278862,0.048278862,0,31,12.4,16.97939928,288.3,1,0,1,1,4,0,0,0,1,15.5,15.5,0,0,0,0,0,0,0,2,31,2,0,501,0,0,20,64,0,64,64,4.14E+07,0,4.14E+07,4.14E+07,Benign
2.23.13.24-10.102.9.193-443-60748-6,2.23.13.24,443,10.102.9.193,60748,6,14/01/2024 06:16:28 下午,40214546,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,0.770865348,0.099466497,1.34E+07,2.32E+07,4.02E+07,0,0,0,0,0,0,4.02E+07,4.02E+07,0,4.02E+07,4.02E+07,1,0,0,0,40,40,0.049733248,0.049733248,0,31,12.4,16.97939928,288.3,1,0,1,1,4,0,0,0,1,15.5,15.5,0,0,0,0,0,0,0,2,31,2,0,501,0,0,20,14,0,14,14,4.02E+07,0,4.02E+07,4.02E+07,Benign
2.23.13.24-10.102.9.193-443-60731-6,2.23.13.24,443,10.102.9.193,60731,6,14/01/2024 06:16:26 下午,41429525,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,0.748258639,0.096549502,1.38E+07,2.39E+07,4.14E+07,0,0,0,0,0,0,4.14E+07,4.14E+07,0,4.14E+07,4.14E+07,1,0,0,0,40,40,0.048274751,0.048274751,0,31,12.4,16.97939928,288.3,1,0,1,1,4,0,0,0,1,15.5,15.5,0,0,0,0,0,0,0,2,31,2,0,501,0,0,20,63,0,63,63,4.14E+07,0,4.14E+07,4.14E+07,Benign
