Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.4.148-10.102.24.100-49290-7680-6,10.102.4.148,49290,10.102.24.100,7680,6,31/12/2023 12:55:59 下午,2452,3,2,75,0,75,0,25,43.30127019,0,0,0,0,30587.27569,2039.151713,613,1045.815153,2178,0,2276,1138,1609.375034,2276,0,2354,2354,0,2354,2354,0,0,0,0,72,52,1223.491028,815.6606852,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.102.24.100-2.20.94.55-49818-443-6,10.102.24.100,49818,2.20.94.55,443,6,31/12/2023 12:56:23 下午,254729,1,2,0,31,0,0,0,0,31,0,15.5,21.92031022,121.6979614,11.77722207,127364.5,180120.6033,254729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,3.925740689,7.851481378,0,31,7.75,15.5,240.25,2,0,0,1,3,0,0,0,2,10.33333333,0,15.5,0,0,0,0,0,0,0,0,0,0,1023,501,0,20,0,0,0,0,0,0,0,0,Benign
10.102.24.100-2.20.94.55-49820-443-6,10.102.24.100,49820,2.20.94.55,443,6,31/12/2023 12:56:23 下午,277551,1,2,0,31,0,0,0,0,31,0,15.5,21.92031022,111.6911847,10.80882432,138775.5,196258.1942,277551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,3.602941441,7.205882883,0,31,7.75,15.5,240.25,2,0,0,1,3,0,0,0,2,10.33333333,0,15.5,0,0,0,0,0,0,0,0,0,0,1021,501,0,20,0,0,0,0,0,0,0,0,Benign
10.102.1.180-10.102.24.100-60609-7680-6,10.102.1.180,60609,10.102.24.100,7680,6,31/12/2023 12:56:28 下午,802,3,2,75,0,75,0,25,43.30127019,0,0,0,0,93516.20948,6234.413965,200.5,165.8362646,431,52,687,343.5,197.282792,483,204,750,750,0,750,750,0,0,0,0,72,52,3740.648379,2493.765586,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Benign
10.102.24.100-54.192.175.121-49721-443-6,10.102.24.100,49721,54.192.175.121,443,6,31/12/2023 12:56:36 下午,484172,1,1,1,0,1,1,1,0,0,0,0,0,2.065381724,4.130763448,484172,0,484172,484172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.065381724,2.065381724,0,1,0.666666667,0.577350269,0.333333333,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1022,0,0,20,0,0,0,0,0,0,0,0,Benign
10.102.4.148-10.102.24.100-49291-7680-6,10.102.4.148,49291,10.102.24.100,7680,6,31/12/2023 12:56:39 下午,2966,3,2,75,0,75,0,25,43.30127019,0,0,0,0,25286.58125,1685.772084,741.5,1252.521324,2609,0,2655,1327.5,1877.368504,2655,0,2920,2920,0,2920,2920,0,0,0,0,72,52,1011.46325,674.3088334,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.93.142.60-10.102.24.100-62577-7680-6,10.93.142.60,62577,10.102.24.100,7680,6,31/12/2023 12:56:57 下午,1896,3,2,75,0,75,0,25,43.30127019,0,0,0,0,39556.96203,2637.130802,474,705.3325457,1524,43,1811,905.5,935.5022715,1567,244,1853,1853,0,1853,1853,0,0,0,0,72,52,1582.278481,1054.852321,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.102.4.148-10.102.24.100-49292-7680-6,10.102.4.148,49292,10.102.24.100,7680,6,31/12/2023 12:57:19 下午,2899,3,2,75,0,75,0,25,43.30127019,0,0,0,0,25870.99,1724.732666,724.75,1062.754087,2304,0,2557,1278.5,1808.072039,2557,0,2646,2646,0,2646,2646,0,0,0,0,72,52,1034.8396,689.8930666,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.102.1.164-10.102.24.100-61682-7680-6,10.102.1.164,61682,10.102.24.100,7680,6,31/12/2023 12:57:35 下午,17040,4,4,114,114,75,0,28.5,36.04164258,75,0,28.5,36.04164258,13380.28169,469.4835681,2434.285714,4783.427387,13070,60,16758,5586,6807.62521,13265,291,16845,5615,7216.636266,13813,222,0,0,0,0,92,92,234.741784,234.741784,0,75,25.33333333,32.6266762,1064.5,1,2,0,4,7,0,0,0,1,28.5,28.5,28.5,0,0,0,228,4,69895,0,0,0,0,64240,1026,2,20,0,0,0,0,0,0,0,0,Benign
10.102.8.193-10.102.24.100-54738-3389-6,10.102.8.193,54738,10.102.24.100,3389,6,31/12/2023 12:55:54 下午,118906312,116,103,1494,4495,65,0,12.87931034,21.97435469,51,0,43.6407767,17.56883067,50.36738504,1.841786162,545441.7982,712553.8723,1980595,13,1.19E+08,1033967.93,736184.3689,2027562,8063,1.19E+08,1165100.824,676383.72,2023362,1591,1,0,0,0,2320,2060,0.975557967,0.866228195,0,65,27.41818182,25.18275913,634.1713574,0,0,0,119,219,0,0,0,0,27.543379,12.87931034,43.6407767,0,0,0,1705,35,1341,3,43,3,132,4105,62599,29,20,0,0,0,0,0,0,0,0,Benign
10.102.24.100-10.102.8.193-3389-49588-17,10.102.24.100,3389,10.102.8.193,49588,17,31/12/2023 12:55:54 下午,117242129,203,178,70320,2485,1240,9,346.4039409,365.3895174,393,9,13.96067416,32.05880232,620.9798527,3.249685103,308531.9184,972640.3857,3989158,12,1.17E+08,580406.5792,1276314.297,4012577,12,1.17E+08,662230.5989,1354895.748,3989158,1966,0,0,0,0,1624,1424,1.731459517,1.518225586,9,1240,193.8272251,318.8046267,101636.39,0,0,0,0,0,0,0,0,0,194.335958,346.4039409,13.96067416,0,0,0,2598,13,6319,7,2424,6,85,0,0,202,8,0,0,0,0,0,0,0,0,Benign
10.102.4.148-10.102.24.100-49294-7680-6,10.102.4.148,49294,10.102.24.100,7680,6,31/12/2023 12:57:59 下午,3176,3,2,75,0,75,0,25,43.30127019,0,0,0,0,23614.60957,1574.307305,794,1311.553786,2746,0,2804,1402,1982.727414,2804,0,3118,3118,0,3118,3118,0,0,0,0,72,52,944.5843829,629.7229219,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
