Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.93.223.76-10.102.24.100-50841-7680-6,10.93.223.76,50841,10.102.24.100,7680,6,31/12/2023 01:35:38 下午,2272,3,2,75,0,75,0,25,43.30127019,0,0,0,0,33010.56338,2200.704225,568,880.6614938,1887,86,2186,1093,1268.549565,1990,196,2169,2169,0,2169,2169,0,0,0,0,72,52,1320.422535,880.2816901,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.102.24.100-20.24.125.47-50184-443-6,10.102.24.100,50184,20.24.125.47,443,6,31/12/2023 01:35:42 下午,733338,18,16,2341,9157,1300,0,130.0555556,323.0167492,1300,0,572.3125,629.5842775,15678.99113,46.36334132,22222.36364,45004.56849,162116,0,733338,43137.52941,73265.94142,241642,0,466616,31107.73333,48208.04735,116375,0,0,0,0,0,396,332,24.54529835,21.81804298,0,1300,328.5142857,528.2404405,279037.963,0,2,1,11,33,0,0,0,0,338.1764706,130.0555556,572.3125,0,0,0,11498,18,24720,0,0,0,0,65535,1023,6,20,0,0,0,0,0,0,0,0,Benign
10.102.24.100-60.210.23.220-49913-443-6,10.102.24.100,49913,60.210.23.220,443,6,31/12/2023 01:35:52 下午,18273,1,1,0,0,0,0,0,0,0,0,0,0,0,109.4511027,18273,0,18273,18273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,54.72555136,54.72555136,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,20,0,0,0,0,0,0,0,0,Benign
10.102.4.148-10.102.24.100-49442-7680-6,10.102.4.148,49442,10.102.24.100,7680,6,31/12/2023 01:36:00 下午,2572,3,2,75,0,75,0,25,43.30127019,0,0,0,0,29160.18663,1944.012442,643,737.3262507,1659,0,1875,937.5,1325.825215,1875,0,2356,2356,0,2356,2356,0,0,0,0,72,52,1166.407465,777.6049767,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.93.223.76-10.102.24.100-50974-7680-6,10.93.223.76,50974,10.102.24.100,7680,6,31/12/2023 01:36:18 下午,2763,3,2,75,0,75,0,25,43.30127019,0,0,0,0,27144.40825,1809.627217,690.75,773.3336386,1841,192,2327,1163.5,1229.658692,2033,294,2571,2571,0,2571,2571,0,0,0,0,72,52,1085.77633,723.8508867,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.102.24.100-121.36.73.60-50193-443-6,10.102.24.100,50193,121.36.73.60,443,6,31/12/2023 01:36:28 下午,23688,2,1,0,0,0,0,0,0,0,0,0,0,0,126.6464032,11844,16734.38908,23677,11,23688,23688,0,23688,23688,0,0,0,0,0,0,0,0,0,52,32,84.43093549,42.21546775,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64240,58,0,20,0,0,0,0,0,0,0,0,Benign
10.102.4.148-10.102.24.100-49448-7680-6,10.102.4.148,49448,10.102.24.100,7680,6,31/12/2023 01:36:40 下午,1688,3,2,75,0,75,0,25,43.30127019,0,0,0,0,44431.27962,2962.085308,422,615.7017676,1328,0,1405,702.5,993.4850276,1405,0,1611,1611,0,1611,1611,0,0,0,0,72,52,1777.251185,1184.834123,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.102.21.12-10.102.24.100-60592-7680-6,10.102.21.12,60592,10.102.24.100,7680,6,31/12/2023 01:36:41 下午,1940,4,5,118,118,75,0,29.5,36.48287269,75,0,23.6,34.2388668,121649.4845,4639.175258,242.5,277.1075088,770,18,1794,598,352.3535157,919,221,1858,464.5,392.2460962,820,122,0,0,0,0,92,112,2061.85567,2577.319588,0,75,23.6,32.2807132,1042.044444,1,2,0,4,8,0,0,0,1,26.22222222,29.5,23.6,0,0,0,236,4,251867,0,0,0,0,64240,8212,2,20,0,0,0,0,0,0,0,0,Benign
10.102.1.164-10.102.24.100-63564-7680-6,10.102.1.164,63564,10.102.24.100,7680,6,31/12/2023 01:36:42 下午,1863,3,2,75,0,75,0,25,43.30127019,0,0,0,0,40257.64895,2683.843264,465.75,707.4792694,1511,0,1577,788.5,1115.107394,1577,0,1797,1797,0,1797,1797,0,0,0,0,72,52,1610.305958,1073.537305,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.93.223.76-10.102.24.100-51086-7680-6,10.93.223.76,51086,10.102.24.100,7680,6,31/12/2023 01:36:58 下午,2869,3,2,75,0,75,0,25,43.30127019,0,0,0,0,26141.51272,1742.767515,717.25,820.1042109,1939,201,2435,1217.5,1304.612011,2140,295,2668,2668,0,2668,2668,0,0,0,0,72,52,1045.660509,697.1070059,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.102.9.124-10.102.24.100-49343-7680-6,10.102.9.124,49343,10.102.24.100,7680,6,31/12/2023 01:37:02 下午,1019,3,2,75,0,75,0,25,43.30127019,0,0,0,0,73601.57017,4906.771344,254.75,208.0743056,543,65,868,434,246.0731599,608,260,954,954,0,954,954,0,0,0,0,72,52,2944.062807,1962.708538,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Benign
10.102.4.148-10.102.24.100-49449-7680-6,10.102.4.148,49449,10.102.24.100,7680,6,31/12/2023 01:37:20 下午,3217,3,2,75,0,75,0,25,43.30127019,0,0,0,0,23313.64625,1554.243084,804.25,1060.134072,2334,0,2529,1264.5,1788.27305,2529,0,3022,3022,0,3022,3022,0,0,0,0,72,52,932.5458502,621.6972334,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.102.24.100-121.36.73.60-50193-443-6,10.102.24.100,50193,121.36.73.60,443,6,31/12/2023 01:36:29 下午,60113347,9,10,1258,4972,648,0,139.7777778,254.951357,1300,0,497.2,591.4561691,103.6375499,0.316069574,3339630.389,1.41E+07,6.00E+07,0,114731,14341.375,14132.73521,31810,291,6.01E+07,6676614.667,2.00E+07,6.00E+07,0,0,0,0,0,216,212,0.149717167,0.166352408,0,1300,311.5,479.8935737,230297.8421,1,2,0,8,18,0,0,0,1,327.8947368,139.7777778,497.2,0,0,0,6199,9,69295,9,1258,10,4972,64240,62,3,20,114731,0,114731,114731,6.00E+07,0,6.00E+07,6.00E+07,Benign
10.102.24.100-121.36.73.60-50193-443-6,10.102.24.100,50193,121.36.73.60,443,6,31/12/2023 01:37:29 下午,26136,2,1,0,0,0,0,0,0,0,0,0,0,0,114.7842057,13068,16409.11996,24671,1465,1465,1465,0,1465,1465,0,0,0,0,0,0,0,0,0,40,20,76.5228038,38.2614019,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,0,0,20,0,0,0,0,0,0,0,0,Benign
10.102.24.100-10.102.8.193-3389-49588-17,10.102.24.100,3389,10.102.8.193,49588,17,31/12/2023 01:35:31 下午,119909311,1240,383,1187051,14034,1244,9,957.2991935,420.8799096,267,9,36.64229765,58.36045232,10016.61164,13.53522914,73926.82552,321185.0359,3474879,9,1.20E+08,96769.33898,368072.6585,3490971,9,1.20E+08,313861.7173,607714.5314,3474879,1465,0,0,0,0,9920,3064,10.34114857,3.194080566,9,1244,740.3460591,537.589163,289002.1081,0,0,0,0,0,0,0,0,0,740.8022181,957.2991935,36.64229765,0,0,0,75067,101,16737,82,79136,25,935,0,0,1239,8,0,0,0,0,0,0,0,0,Benign
10.102.24.100-10.102.8.193-3389-54738-6,10.102.24.100,3389,10.102.8.193,54738,6,31/12/2023 01:35:31 下午,119661361,370,559,6318,22210,51,0,17.07567568,23.23112814,73,0,39.73166369,19.08666096,238.4061134,7.763575412,128945.4321,343750.3533,1988569,0,1.20E+08,324169.3523,508717.7908,2030920,31,1.20E+08,214430.1129,441186.0057,2031673,0,0,0,0,0,7400,11180,3.092059098,4.671516313,0,73,30.67526882,23.60520119,557.2055233,0,0,0,590,929,0,0,0,1,30.70828848,17.07567568,39.73166369,0,0,0,8013,167,1584,16,287,25,1009,62788,4103,132,20,0,0,0,0,0,0,0,0,Benign
10.93.223.76-10.102.24.100-51123-7680-6,10.93.223.76,51123,10.102.24.100,7680,6,31/12/2023 01:37:39 下午,2622,3,2,75,0,75,0,25,43.30127019,0,0,0,0,28604.11899,1906.941266,655.5,721.9152767,1731,194,2222,1111,1151.16984,1925,297,2428,2428,0,2428,2428,0,0,0,0,72,52,1144.16476,762.7765065,0,75,12.5,30.61862178,937.5,1,2,0,1,4,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,Benign
10.102.24.164-10.102.24.100-34262-8080-6,10.102.24.164,34262,10.102.24.100,8080,6,31/12/2023 01:35:35 下午,117081607,19,18,273,7,168,0,14.36842105,37.73328994,1,0,0.388888889,0.501631326,2.391494336,0.316018894,3252266.861,6117850.446,1.50E+07,62,1.17E+08,6501912.111,7442446.197,1.50E+07,203,1.17E+08,6887149.706,7438958.389,1.50E+07,42473,0,0,0,0,484,372,0.162279973,0.153738922,0,168,7.368421053,27.25993105,743.1038407,0,2,0,10,36,0,0,0,0,7.567567568,14.36842105,0.388888889,0,0,0,0,0,0,2,34,2,0,64240,8211,10,20,133659.5,44903.52526,170865,41519,1.45E+07,1354171.729,1.50E+07,1.11E+07,Slowloris
10.102.24.164-10.102.24.100-34332-8080-6,10.102.24.164,34332,10.102.24.100,8080,6,31/12/2023 01:35:35 下午,117076013,19,18,275,7,168,0,14.47368421,37.72026927,1,0,0.388888889,0.501631326,2.408691522,0.316033994,3252111.472,6117190.455,1.50E+07,21,1.17E+08,6501601.333,7440350.655,1.50E+07,208,1.17E+08,6886823.059,7437891.077,1.50E+07,46262,0,0,0,0,484,372,0.162287727,0.153746267,0,168,7.421052632,27.26509657,743.3854908,0,2,0,10,36,0,0,0,0,7.621621622,14.47368421,0.388888889,0,0,0,0,0,0,2,34,2,0,64240,8211,10,20,134789,43723.77892,170817,41128,1.45E+07,1359647.463,1.50E+07,1.11E+07,Slowloris
10.102.24.164-10.102.24.100-34566-8080-6,10.102.24.164,34566,10.102.24.100,8080,6,31/12/2023 01:35:35 下午,117056838,19,18,274,7,168,0,14.42105263,37.7275552,1,0,0.388888889,0.501631326,2.40054323,0.316085763,3251578.833,6116667.207,1.50E+07,100,1.17E+08,6500552.611,7441055.089,1.50E+07,199,1.17E+08,6885690.471,7437528.575,1.50E+07,46085,0,0,0,0,484,372,0.162314311,0.153771452,0,168,7.394736842,27.26302265,743.272404,0,2,0,10,36,0,0,0,0,7.594594595,14.42105263,0.388888889,0,0,0,0,0,0,2,34,2,0,64240,8211,10,20,134321.625,44264.19537,170825,40969,1.45E+07,1364842.095,1.50E+07,1.11E+07,Slowloris
10.102.24.164-10.102.24.100-34634-8080-6,10.102.24.164,34634,10.102.24.100,8080,6,31/12/2023 01:35:35 下午,117034662,19,18,274,7,168,0,14.42105263,37.71135371,1,0,0.388888889,0.501631326,2.400998091,0.316145656,3250962.833,6116093.083,1.50E+07,37,1.17E+08,6499341.722,7440758.872,1.50E+07,205,1.17E+08,6884389.706,7437137.571,1.50E+07,42044,0,0,0,0,484,372,0.162345067,0.153800589,0,168,7.394736842,27.25211569,742.6778094,0,2,0,10,36,0,0,0,0,7.594594595,14.42105263,0.388888889,0,0,0,0,0,0,2,34,2,0,64240,8211,10,20,133748.625,44906.89499,170815,40697,1.45E+07,1371076.791,1.50E+07,1.11E+07,Slowloris
10.102.24.164-10.102.24.100-34638-8080-6,10.102.24.164,34638,10.102.24.100,8080,6,31/12/2023 01:35:35 下午,117033827,18,18,274,7,168,0,15.22222222,38.63792035,1,0,0.388888889,0.501631326,2.401015221,0.307603374,3343823.629,6179586.723,1.50E+07,22,1.17E+08,6881606.588,7499291.18,1.51E+07,200,1.17E+08,6884341.471,7437189.549,1.50E+07,41222,0,0,0,0,452,372,0.153801687,0.153801687,0,168,7.594594595,27.59977804,761.7477477,0,2,0,10,35,0,0,0,1,7.805555556,15.22222222,0.388888889,0,0,0,0,0,0,2,34,2,0,64240,8211,10,20,133641,45018.65487,170806,40698,1.45E+07,1371081.842,1.50E+07,1.11E+07,Slowloris
