Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.24.164-10.102.24.100-35948-8080-6,10.102.24.164,35948,10.102.24.100,8080,6,31/12/2023 10:54:28 上午,105260379,11,10,188,7,168,0,17.09090909,50.40923436,1,0,0.7,0.483045892,1.852548906,0.199505267,5263018.95,7331971.943,1.50E+07,117,1.05E+08,1.05E+07,7219429.046,1.50E+07,365,1.05E+08,1.17E+07,6562702.384,1.50E+07,48862,0,0,0,0,324,212,0.104502759,0.095002508,0,168,8.863636364,35.79211865,1281.075758,0,2,0,2,20,0,0,0,0,9.285714286,17.09090909,0.7,0,0,0,0,0,0,1,26,1,1,64240,1025,2,20,35325.85714,90430.21964,240399,590,1.50E+07,17017.80031,1.50E+07,1.50E+07,Slowloris
10.102.24.164-10.102.24.100-35946-8080-6,10.102.24.164,35946,10.102.24.100,8080,6,31/12/2023 10:54:28 上午,105458528,10,10,189,7,168,0,18.9,52.80246206,1,0,0.7,0.483045892,1.858550501,0.18964801,5550448.842,7415589.719,1.50E+07,157,1.05E+08,1.17E+07,9949227.636,3.00E+07,307,1.05E+08,1.17E+07,6517355.721,1.50E+07,132957,0,0,0,0,292,212,0.094824005,0.094824005,0,168,9.333333333,36.63513796,1342.133333,0,2,0,2,19,0,0,0,1,9.8,18.9,0.7,0,0,0,0,0,0,1,27,1,1,64240,1025,2,20,75758.16667,180758.2354,444729,1683,1.50E+07,18518.72827,1.50E+07,1.50E+07,Slowloris
10.102.24.164-10.102.24.100-35954-8080-6,10.102.24.164,35954,10.102.24.100,8080,6,31/12/2023 10:54:28 上午,105244627,11,10,188,7,168,0,17.09090909,50.40923436,1,0,0.7,0.483045892,1.852826178,0.199535127,5262231.35,7331879.267,1.50E+07,137,1.05E+08,1.05E+07,7220843.253,1.50E+07,429,1.05E+08,1.17E+07,6564859.411,1.50E+07,48773,0,0,0,0,324,212,0.1045184,0.095016727,0,168,8.863636364,35.79211865,1281.075758,0,2,0,2,20,0,0,0,0,9.285714286,17.09090909,0.7,0,0,0,0,0,0,1,26,1,1,64240,1025,2,20,34061.28571,86140.36911,229409,1207,1.50E+07,18917.40048,1.50E+07,1.50E+07,Slowloris
10.102.24.164-10.102.24.100-35960-8080-6,10.102.24.164,35960,10.102.24.100,8080,6,31/12/2023 10:54:29 上午,105431004,11,10,189,7,168,0,17.18181818,50.41590658,1,0,0.7,0.483045892,1.859035697,0.199182396,5271550.2,7325476.354,1.50E+07,149,1.05E+08,1.05E+07,7191104.344,1.50E+07,450,1.05E+08,1.17E+07,6523980.911,1.50E+07,48202,0,0,0,0,324,212,0.104333636,0.09484876,0,168,8.909090909,35.80756649,1282.181818,0,2,0,2,20,0,0,0,0,9.333333333,17.18181818,0.7,0,0,0,0,0,0,1,27,1,1,64240,1025,2,20,60132.42857,157060.7268,416312,538,1.50E+07,18682.93425,1.50E+07,1.50E+07,Slowloris
10.102.24.164-10.102.24.100-35986-8080-6,10.102.24.164,35986,10.102.24.100,8080,6,31/12/2023 10:54:30 上午,105301219,10,10,189,7,168,0,18.9,52.80246206,1,0,0.7,0.483045892,1.86132698,0.189931325,5542169.421,7420935.524,1.50E+07,39,1.05E+08,1.17E+07,9966513.515,3.00E+07,578,1.05E+08,1.17E+07,6548310.031,1.50E+07,48713,0,0,0,0,292,212,0.094965662,0.094965662,0,168,9.333333333,36.63513796,1342.133333,0,2,0,2,19,0,0,0,1,9.8,18.9,0.7,0,0,0,0,0,0,1,27,1,1,64240,1025,2,20,51157.16667,122248.3185,300695,983,1.50E+07,18133.96854,1.50E+07,1.50E+07,Slowloris
10.102.24.164-10.102.24.100-35966-8080-6,10.102.24.164,35966,10.102.24.100,8080,6,31/12/2023 10:54:29 上午,106041366,11,10,188,7,168,0,17.09090909,50.40923436,1,0,0.7,0.483045892,1.838905018,0.198035925,5302068.3,7301932.101,1.50E+07,143,1.06E+08,1.06E+07,7090701.775,1.50E+07,626,1.06E+08,1.18E+07,6385431.988,1.50E+07,349907,0,0,0,0,324,212,0.103733104,0.094302821,0,168,8.863636364,35.79211865,1281.075758,0,2,0,2,20,0,0,0,0,9.285714286,17.09090909,0.7,0,0,0,0,0,0,1,26,1,1,64240,1025,2,20,149687.5714,393033.5354,1041002,551,1.50E+07,17959.85648,1.50E+07,1.50E+07,Slowloris
10.102.24.164-10.102.24.100-35994-8080-6,10.102.24.164,35994,10.102.24.100,8080,6,31/12/2023 10:54:30 上午,106008852,10,10,189,7,168,0,18.9,52.80246206,1,0,0.7,0.483045892,1.848902203,0.18866349,5579413.263,7395319.363,1.50E+07,132,9.10E+07,1.01E+07,7371110.524,1.51E+07,398,1.06E+08,1.18E+07,6422533.88,1.51E+07,47806,0,0,0,0,292,212,0.094331745,0.094331745,0,168,9.333333333,36.63513796,1342.133333,0,2,0,2,19,0,0,0,1,9.8,18.9,0.7,0,0,0,0,0,0,1,27,1,1,64240,1025,2,20,143077.2857,340842.3431,912852,341,1.50E+07,18932.84396,1.50E+07,1.50E+07,Slowloris
10.102.24.164-10.102.24.100-36004-8080-6,10.102.24.164,36004,10.102.24.100,8080,6,31/12/2023 10:54:31 上午,105228139,6,10,189,7,168,0,31.5,67.39658745,1,0,0.7,0.483045892,1.862619655,0.152050584,7015209.267,7733769.789,1.50E+07,188,1.05E+08,2.10E+07,3.91E+07,9.01E+07,643,1.05E+08,1.17E+07,6569790.943,1.50E+07,48272,0,0,0,0,164,212,0.057018969,0.095031615,0,168,11.52941176,40.62960381,1650.764706,0,2,0,2,15,0,0,0,1,12.25,31.5,0.7,0,0,0,0,0,0,0,27,1,1,64240,1025,2,20,104738.5,146367.5682,208236,1241,1.50E+07,20012.93138,1.50E+07,1.50E+07,Slowloris
10.102.24.164-10.102.24.100-36006-8080-6,10.102.24.164,36006,10.102.24.100,8080,6,31/12/2023 10:54:31 上午,105270036,11,10,188,7,168,0,17.09090909,50.40923436,1,0,0.7,0.483045892,1.852378962,0.199486965,5263501.8,7333016.793,1.50E+07,158,1.05E+08,1.05E+07,7220362.502,1.50E+07,490,1.05E+08,1.17E+07,6563697.288,1.50E+07,48302,0,0,0,0,324,212,0.104493172,0.094993793,0,168,8.863636364,35.79211865,1281.075758,0,2,0,2,20,0,0,0,0,9.285714286,17.09090909,0.7,0,0,0,0,0,0,1,26,1,1,64240,1025,2,20,34875.42857,90078.9931,239155,534,1.50E+07,21210.75157,1.50E+07,1.50E+07,Slowloris
10.102.24.164-10.102.24.100-36018-8080-6,10.102.24.164,36018,10.102.24.100,8080,6,31/12/2023 10:54:31 上午,105805833,11,10,188,7,168,0,17.09090909,50.40923436,1,0,0.7,0.483045892,1.84299858,0.19847677,5290291.65,7314008.229,1.50E+07,127,1.06E+08,1.06E+07,7135512.349,1.50E+07,457,1.06E+08,1.18E+07,6446945.196,1.50E+07,47850,0,0,0,0,324,212,0.103964022,0.094512748,0,168,8.863636364,35.79211865,1281.075758,0,2,0,2,20,0,0,0,0,9.285714286,17.09090909,0.7,0,0,0,0,0,0,1,26,1,1,64240,1025,2,20,111843.2857,293626.2917,777725,513,1.50E+07,18144.93271,1.50E+07,1.50E+07,Slowloris
