Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.9.194-10.102.9.193-44138-8080-6,10.102.9.194,44138,10.102.9.193,8080,6,16/01/2024 10:06:53 下午,261920,558,281,800016,103,1460,0,1433.72043,171.0934125,103,0,0.366548043,6.144464859,3054822.083,3203.268173,312.5536993,809.8925612,13678,0,248207,445.6140036,778.798355,5337,0,261601,934.2892857,1263.548553,13678,23,0,0,0,0,11180,5632,2130.421503,1072.846671,0,1460,952.522619,691.4973851,478168.6336,2,2,0,136,838,0,0,0,0,953.6579261,1433.72043,0.366548043,0,0,0,800119,557,3076008,0,0,0,0,64240,8209,556,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-44150-8080-6,10.102.9.194,44150,10.102.9.193,8080,6,16/01/2024 10:06:53 下午,270190,557,284,800016,103,1460,0,1436.294434,166.013953,103,0,0.362676056,6.11192554,2961319.812,3112.624449,321.6547619,798.5232839,12508,0,257640,463.381295,794.1146457,5442,0,269702,953.0106007,1232.370573,12508,11,0,0,0,0,11160,5692,2061.512269,1051.11218,0,1460,950.260095,693.1563645,480465.7456,2,2,0,147,840,0,0,0,0,951.3900119,1436.294434,0.362676056,0,0,0,800119,556,2981180,0,0,0,0,64240,8209,555,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-44138-8080-6,10.102.9.194,44138,10.102.9.193,8080,6,16/01/2024 10:06:54 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-44150-8080-6,10.102.9.194,44150,10.102.9.193,8080,6,16/01/2024 10:06:54 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-44148-8080-6,10.102.9.194,44148,10.102.9.193,8080,6,16/01/2024 10:06:53 下午,291025,563,280,800016,103,1460,0,1420.987567,225.2080213,103,0,0.367857143,6.155427338,2749313.633,2896.658363,345.6353919,753.535184,6907,0,290765,517.3754448,878.4564954,6913,0,290613,1041.623656,1190.620009,9966,13,0,0,0,0,11280,5612,1934.541706,962.1166566,0,1460,948.0082938,694.6737143,482571.5693,2,2,0,151,842,0,0,0,0,949.1328588,1420.987567,0.367857143,0,0,0,800119,562,2758755,0,0,0,0,64240,8212,561,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-44148-8080-6,10.102.9.194,44148,10.102.9.193,8080,6,16/01/2024 10:06:54 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-44158-8080-6,10.102.9.194,44158,10.102.9.193,8080,6,16/01/2024 10:06:54 下午,254775,551,278,800016,103,1460,0,1451.934664,107.186275,103,0,0.370503597,6.177529482,3140492.592,3253.851438,307.6992754,853.3146667,10266,0,244906,445.2836364,933.4402942,10275,0,254723,919.5776173,1347.563977,10274,27,0,0,0,0,11040,5572,2162.692572,1091.158866,0,1460,963.9987952,691.6586531,478391.6924,2,2,0,128,828,0,0,0,0,965.1616405,1451.934664,0.370503597,0,0,0,800119,550,3214168,0,0,0,0,64240,1021,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-44158-8080-6,10.102.9.194,44158,10.102.9.193,8080,6,16/01/2024 10:06:54 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-44170-8080-6,10.102.9.194,44170,10.102.9.193,8080,6,16/01/2024 10:06:54 下午,261177,551,278,800016,103,1460,0,1451.934664,107.186275,103,0,0.370503597,6.177529482,3063512.484,3174.092665,315.4311594,811.4519739,12369,0,248772,452.3127273,815.6232391,6751,0,261106,942.6209386,1294.776167,12369,18,0,0,0,0,11040,5572,2109.680408,1064.412257,0,1460,963.9987952,691.6586531,478391.6924,2,2,0,125,828,0,0,0,0,965.1616405,1451.934664,0.370503597,0,0,0,800119,550,3154110,0,0,0,0,64240,1021,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-44170-8080-6,10.102.9.194,44170,10.102.9.193,8080,6,16/01/2024 10:06:54 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
