Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.24.164-10.102.24.100-43008-8080-6,10.102.24.164,43008,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,3060,19,11,23160,103,1460,0,1218.947368,542.1649476,103,0,9.363636364,31.05566849,7602287.582,9803.921569,105.5172414,172.2922394,880,0,2784,154.6666667,236.4643985,936,0,3004,300.4,268.6795696,1041,44,0,0,0,0,400,232,6209.150327,3594.771242,0,1460,750.4193548,732.0153812,535846.5183,0,2,1,5,29,0,0,0,0,775.4333333,1218.947368,9.363636364,0,0,0,23263,18,11184134,0,0,0,0,64240,0,17,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-43038-8080-6,10.102.24.164,43038,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,1644,4,4,1476,103,1460,0,369,727.3724401,103,0,25.75,51.5,960462.2871,4866.180049,234.8571429,347.0568775,811,0,1562,520.6666667,465.8426058,898,0,1557,519,865.1595229,1518,19,0,0,0,0,100,92,2433.090024,2433.090024,0,1460,175.4444444,482.8869203,233179.7778,0,2,1,2,7,0,0,0,1,197.375,369,25.75,0,0,0,0,0,0,0,0,0,0,64240,0,2,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-43044-8080-6,10.102.24.164,43044,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,2694,3,3,16,103,16,0,5.333333333,9.237604307,103,0,34.33333333,59.46707773,44172.2346,2227.171492,538.8,719.0175241,1679,27,2549,1274.5,632.8605692,1722,827,2651,1325.5,1836.356311,2624,27,0,0,0,0,80,72,1113.585746,1113.585746,0,103,17,38.38836629,1473.666667,1,2,0,2,5,0,0,0,1,19.83333333,5.333333333,34.33333333,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-43044-8080-6,10.102.24.164,43044,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,32,2,1,2920,0,1460,1460,1460,0,0,0,0,0,9.13E+07,93750,16,22.627417,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,62500,31250,0,1460,1095,730,532900,0,0,1,0,3,0,0,0,0,1460,1460,0,0,0,0,0,0,0,0,0,0,0,502,0,1,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-43062-8080-6,10.102.24.164,43062,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,5473,3,3,16,103,16,0,5.333333333,9.237604307,103,0,34.33333333,59.46707773,21743.1025,1096.290883,1094.6,1585.040157,3593,20,5412,2706,1326.532322,3644,1768,5422,2711,3805.648696,5402,20,0,0,0,0,80,72,548.1454413,548.1454413,0,103,17,38.38836629,1473.666667,1,2,0,2,5,0,0,0,1,19.83333333,5.333333333,34.33333333,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-43062-8080-6,10.102.24.164,43062,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,16,1,1,1460,0,1460,1460,1460,0,0,0,0,0,9.13E+07,125000,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,62500,62500,0,1460,973.3333333,842.931393,710533.3333,0,0,1,0,2,0,0,0,1,1460,1460,0,0,0,0,0,0,0,0,0,0,0,502,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-43076-8080-6,10.102.24.164,43076,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,2868,3,3,16,103,16,0,5.333333333,9.237604307,103,0,34.33333333,59.46707773,41492.32915,2092.050209,573.6,1205.923837,2730,0,2765,1382.5,1955.15025,2765,0,2833,1416.5,1982.020308,2818,15,0,0,0,0,80,72,1046.025105,1046.025105,0,103,17,38.38836629,1473.666667,1,2,0,2,5,0,0,0,1,19.83333333,5.333333333,34.33333333,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-43076-8080-6,10.102.24.164,43076,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,17,1,1,1460,0,1460,1460,1460,0,0,0,0,0,8.59E+07,117647.0588,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,58823.52941,58823.52941,0,1460,973.3333333,842.931393,710533.3333,0,0,1,0,2,0,0,0,1,1460,1460,0,0,0,0,0,0,0,0,0,0,0,502,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-43086-8080-6,10.102.24.164,43086,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,4765,4,4,1476,103,1460,0,369,727.3724401,103,0,25.75,51.5,331374.6065,1678.908709,680.7142857,1365.316534,3668,0,4693,1564.333333,1920.686422,3708,0,4725,1575,2682.978196,4673,13,0,0,0,0,100,92,839.4543547,839.4543547,0,1460,175.4444444,482.8869203,233179.7778,0,2,1,2,7,0,0,0,1,197.375,369,25.75,0,0,0,0,0,0,0,0,0,0,64240,0,2,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-43100-8080-6,10.102.24.164,43100,10.102.24.100,8080,6,30/12/2023 08:35:00 下午,8036,3,3,16,103,16,0,5.333333333,9.237604307,103,0,34.33333333,59.46707773,14808.36237,746.6401195,1607.2,2570.179702,5950,21,7965,3982.5,2827.720018,5982,1983,8004,4002,5629.984192,7983,21,0,0,0,0,80,72,373.3200597,373.3200597,0,103,17,38.38836629,1473.666667,1,2,0,2,5,0,0,0,1,19.83333333,5.333333333,34.33333333,0,0,0,0,0,0,0,0,0,0,64240,1026,1,20,0,0,0,0,0,0,0,0,TCP Flood
