Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.24.164-10.102.24.100-39114-8080-6,10.102.24.164,39114,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,114275,552,277,800016,103,1460,0,1449.304348,116.580599,103,0,0.371841155,6.188670212,7001697.659,7254.430103,138.013285,526.0460907,11353,0,102888,186.7295826,423.1182399,4322,0,113993,413.0181159,886.8649029,11353,23,0,0,0,0,11060,5552,4830.452855,2423.977248,0,1460,963.9987952,690.8432506,477264.3969,2,2,0,91,828,0,0,0,0,965.1616405,1449.304348,0.371841155,0,0,0,800119,551,7072875,0,0,0,0,64240,8212,550,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39114-8080-6,10.102.24.164,39114,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39122-8080-6,10.102.24.164,39122,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,197374,551,277,800016,103,1460,0,1451.934664,107.186275,103,0,0.371841155,6.188670212,4053821.679,4195.081419,238.662636,725.4250294,10073,0,187275,340.5,761.6729663,5257,0,197326,714.9492754,1193.780262,10073,15,0,0,0,0,11040,5552,2791.654423,1403.426996,0,1460,965.1616405,691.2638939,477845.7709,2,2,0,116,827,0,0,0,0,966.3272947,1451.934664,0.371841155,0,0,0,800119,550,4094565,0,0,0,0,64240,1026,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39122-8080-6,10.102.24.164,39122,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39124-8080-6,10.102.24.164,39124,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,175964,551,281,800016,103,1460,0,1451.934664,107.186275,103,0,0.366548043,6.144464859,4547060.762,4728.239867,211.7496992,658.7893423,9845,0,166088,301.9781818,678.0490842,4982,0,175909,628.2464286,1102.051505,9845,19,0,0,0,0,11040,5800,3131.322316,1596.917551,0,1460,960.5270108,692.8242729,480005.4731,2,2,0,99,831,0,0,0,0,961.6814904,1451.934664,0.366548043,0,0,0,800119,550,4665716,0,0,0,0,64240,1021,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39124-8080-6,10.102.24.164,39124,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39136-8080-6,10.102.24.164,39136,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,144820,551,278,800016,103,1460,0,1451.934664,107.186275,103,0,0.370503597,6.177529482,5524920.591,5724.347466,174.9033816,561.5427341,10457,0,134337,244.2490909,514.5288344,4213,0,144768,522.6281588,938.0838022,10457,16,0,0,0,0,11040,5572,3804.723105,1919.624361,0,1460,963.9987952,691.6586531,478391.6924,2,2,0,85,828,0,0,0,0,965.1616405,1451.934664,0.370503597,0,0,0,800119,550,5633490,0,0,0,0,64240,1021,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39136-8080-6,10.102.24.164,39136,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39142-8080-6,10.102.24.164,39142,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,159651,551,278,800016,103,1460,0,1451.934664,107.186275,103,0,0.370503597,6.177529482,5011675.467,5192.576307,192.8152174,635.4936848,11582,0,148037,269.1581818,592.2095627,4333,0,159603,576.1841155,1071.901936,11582,19,0,0,0,0,11040,5572,3451.2781,1741.298207,0,1460,963.9987952,691.6586531,478391.6924,2,2,0,83,828,0,0,0,0,965.1616405,1451.934664,0.370503597,0,0,0,800119,550,5153114,0,0,0,0,64240,1021,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39142-8080-6,10.102.24.164,39142,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,3530,2,0,0,0,0,0,0,0,0,0,0,0,0,566.572238,3530,0,3530,3530,3530,3530,0,3530,3530,0,0,0,0,0,0,0,0,0,40,0,566.572238,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-39158-8080-6,10.102.24.164,39158,10.102.24.100,8080,6,30/12/2023 08:42:48 下午,149663,551,277,800016,103,1460,0,1451.934664,107.186275,103,0,0.371841155,6.188670212,5346137.656,5532.429525,180.9709794,616.4763764,10914,0,138716,252.2109091,586.7283679,4717,0,149613,542.076087,1040.534536,10914,16,0,0,0,0,11040,5552,3681.604672,1850.824853,0,1460,965.1616405,691.2638939,477845.7709,2,2,0,84,827,0,0,0,0,966.3272947,1451.934664,0.371841155,0,0,0,800119,550,5509588,0,0,0,0,64240,1026,549,20,0,0,0,0,0,0,0,0,TCP Flood
