Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.24.164-10.102.24.100-59510-8080-6,10.102.24.164,59510,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,346621,554,295,800016,103,1460,0,1444.072202,142.7447621,103,0,0.349152542,5.99689185,2308339.656,2449.361118,408.7511792,887.1151915,13039,0,333537,603.1410488,893.6733579,5649,0,346521,1178.642857,1285.752567,13039,5,0,0,0,0,11100,6652,1598.287467,851.073651,0,1460,941.3164706,697.7958296,486919.0199,2,2,0,185,848,0,0,0,0,942.4252061,1444.072202,0.349152542,0,0,0,800119,553,2313940,0,0,0,0,64240,8212,552,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-59510-8080-6,10.102.24.164,59510,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-59524-8080-6,10.102.24.164,59524,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,351599,553,287,800016,103,1460,0,1446.683544,122.4297611,103,0,0.358885017,6.079897762,2275657.781,2389.085293,419.0691299,904.5731677,11413,0,340132,616.1811594,949.146339,6371,0,351572,1229.272727,1319.575055,11413,37,0,0,0,0,11080,6064,1572.814485,816.2708085,0,1460,951.3900119,693.8756922,481463.4763,2,2,0,189,839,0,0,0,0,952.522619,1446.683544,0.358885017,0,0,0,800119,552,2286988,0,0,0,0,64240,8212,551,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-59524-8080-6,10.102.24.164,59524,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-59534-8080-6,10.102.24.164,59534,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,464054,554,292,800016,103,1460,0,1444.072202,144.286817,103,0,0.352739726,6.027619081,1724193.736,1823.063695,549.1763314,1021.145925,11059,0,454996,822.7775769,1113.931899,11059,0,464009,1594.532646,1416.543019,13328,4,0,0,0,0,11100,6332,1193.826581,629.2371146,0,1460,944.6505313,696.9804602,485781.7619,2,2,0,231,845,0,0,0,0,945.7671395,1444.072202,0.352739726,0,0,0,800119,553,1767886,0,0,0,0,64240,8212,552,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-59534-8080-6,10.102.24.164,59534,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-59546-8080-6,10.102.24.164,59546,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,491362,556,292,800016,103,1460,0,1438.877698,170.0909968,103,0,0.352739726,6.027619081,1628369.715,1725.815183,580.120425,1008.87543,11211,0,480050,864.954955,1049.352045,6944,0,491294,1688.295533,1266.99637,11211,3,0,0,0,0,11140,6352,1131.548634,594.2665489,0,1460,942.4252061,697.9925321,487193.5749,2,2,0,253,847,0,0,0,0,943.5365566,1438.877698,0.352739726,0,0,0,800119,555,1633029,0,0,0,0,64240,1026,554,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-59546-8080-6,10.102.24.164,59546,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,212,2,0,0,0,0,0,0,0,0,0,0,0,0,9433.962264,212,0,212,212,212,212,0,212,212,0,0,0,0,0,0,0,0,0,40,0,9433.962264,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-59558-8080-6,10.102.24.164,59558,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,287361,551,277,800016,103,1460,0,1451.934664,107.186275,103,0,0.371841155,6.188670212,2784368.79,2881.393091,347.4740024,792.5771234,10977,0,276348,502.4509091,812.7964054,5908,0,287314,1040.992754,1210.487385,10977,26,0,0,0,0,11040,5552,1917.448784,963.944307,0,1460,965.1616405,691.2638939,477845.7709,2,2,0,163,827,0,0,0,0,966.3272947,1451.934664,0.371841155,0,0,0,800119,550,2829255,0,0,0,0,64240,1026,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.24.164-10.102.24.100-59558-8080-6,10.102.24.164,59558,10.102.24.100,8080,6,30/12/2023 08:03:29 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
