Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.9.194-10.102.9.193-38384-8080-6,10.102.9.194,38384,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,122651,580,290,800016,103,1460,0,1379.337931,326.7043837,103,0,0.355172414,6.048368261,6523542.409,7093.297242,141.1403913,521.3008729,11877,0,110746,191.2711572,399.7164402,4266,0,122575,424.1349481,876.8715574,11877,21,0,0,0,0,11620,5812,4728.864828,2364.432414,0,1460,918.6211251,703.2737968,494594.0333,2,2,0,115,869,0,0,0,0,919.6770115,1379.337931,0.355172414,0,0,0,800119,579,6569660,0,0,0,0,64240,8212,578,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-38384-8080-6,10.102.9.194,38384,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-38394-8080-6,10.102.9.194,38394,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,147052,551,277,800016,103,1460,0,1451.934664,107.186275,103,0,0.371841155,6.188670212,5441061.665,5630.661263,177.8137848,622.2743115,12090,0,134934,245.3345455,553.9882595,5032,0,147005,532.6268116,1039.753433,12090,18,0,0,0,0,11040,5552,3746.97386,1883.687403,0,1460,965.1616405,691.2638939,477845.7709,2,2,0,82,827,0,0,0,0,966.3272947,1451.934664,0.371841155,0,0,0,800119,550,5544215,0,0,0,0,64240,1026,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-38394-8080-6,10.102.9.194,38394,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-38408-8080-6,10.102.9.194,38408,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,178039,551,278,800016,103,1460,0,1451.934664,107.186275,103,0,0.370503597,6.177529482,4494065.907,4656.283174,215.0229469,735.1980827,12820,0,165189,300.3436364,706.0559868,5847,0,177991,642.566787,1222.026575,12820,19,0,0,0,0,11040,5572,3094.827538,1561.455636,0,1460,963.9987952,691.6586531,478391.6924,2,2,0,92,828,0,0,0,0,965.1616405,1451.934664,0.370503597,0,0,0,800119,550,4604206,0,0,0,0,64240,1021,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-38408-8080-6,10.102.9.194,38408,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-38410-8080-6,10.102.9.194,38410,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,156830,551,278,800016,103,1460,0,1451.934664,107.186275,103,0,0.370503597,6.177529482,5101823.631,5285.978448,189.4082126,657.357373,11663,0,145134,263.88,625.6128013,4369,0,156771,565.9602888,1097.050837,11663,21,0,0,0,0,11040,5572,3513.358414,1772.620034,0,1460,963.9987952,691.6586531,478391.6924,2,2,0,89,828,0,0,0,0,965.1616405,1451.934664,0.370503597,0,0,0,800119,550,5228749,0,0,0,0,64240,1021,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-38410-8080-6,10.102.9.194,38410,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-38412-8080-6,10.102.9.194,38412,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,144495,551,277,800016,103,1460,0,1451.934664,107.186275,103,0,0.371841155,6.188670212,5537347.313,5730.302087,174.7218863,630.8041968,11509,0,132953,241.7327273,590.4681199,4639,0,144447,523.3586957,1058.854701,11509,22,0,0,0,0,11040,5552,3813.280736,1917.02135,0,1460,965.1616405,691.2638939,477845.7709,2,2,0,84,827,0,0,0,0,966.3272947,1451.934664,0.371841155,0,0,0,800119,550,5713136,0,0,0,0,64240,1021,549,20,0,0,0,0,0,0,0,0,TCP Flood
10.102.9.194-10.102.9.193-38412-8080-6,10.102.9.194,38412,10.102.9.193,8080,6,14/01/2024 05:39:08 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,TCP Flood
