Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.24.164-10.102.24.100-34796-8080-6,10.102.24.164,34796,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,3046,7,4,423,4096,423,0,60.42857143,159.8789721,1460,0,1024,695.6704201,1483585.03,3611.2935,304.6,368.3353544,914,0,3046,507.6666667,583.7748424,1433,0,1837,612.3333333,1060.592445,1837,0,0,0,0,0,160,92,2298.095863,1313.197636,0,1460,376.5833333,612.2480867,374847.7197,0,2,1,2,10,0,0,0,0,410.8181818,60.42857143,1024,0,0,0,4519,4,8607619,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34806-8080-6,10.102.24.164,34806,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,2270,7,4,396,4096,396,0,56.57142857,149.6739313,1460,0,1024,695.6704201,1978854.626,4845.814978,227,284.6038182,859,0,2270,378.3333333,480.7205703,1277,0,1167,389,673.7677641,1167,0,0,0,0,0,160,92,3083.700441,1762.114537,0,1460,374.3333333,612.1115961,374680.6061,0,2,1,2,10,0,0,0,0,408.3636364,56.57142857,1024,0,0,0,4492,4,10746411,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34818-8080-6,10.102.24.164,34818,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,5911,7,9,330,7729,330,0,47.14285714,124.7282761,1460,0,858.7777778,687.4092263,1363390.289,2706.817797,394.0666667,824.0291662,3198,0,2645,440.8333333,504.3080077,1410,0,5888,736,1163.310179,3198,0,0,0,0,0,160,192,1184.232786,1522.585011,0,1460,474.0588235,647.4085332,419137.8088,2,2,0,3,15,0,0,0,1,503.6875,47.14285714,858.7777778,0,0,0,8059,7,1581436,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34834-8080-6,10.102.24.164,34834,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,3776,7,9,384,7729,384,0,54.85714286,145.1383576,1460,0,858.7777778,687.4092263,2148569.915,4237.288136,251.7333333,339.4974157,931,0,3147,524.5,495.3708712,1281,0,3753,469.125,707.34159,1621,0,0,0,0,0,160,192,1853.813559,2383.474576,0,1460,477.2352941,646.7897194,418336.9412,2,2,0,3,15,0,0,0,1,507.0625,54.85714286,858.7777778,0,0,0,8113,7,3301994,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34854-8080-6,10.102.24.164,34854,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,3476,7,9,318,7729,318,0,45.42857143,120.1927024,1460,0,858.7777778,687.4092263,2315017.261,4602.991945,231.7333333,409.9525176,1569,0,3373,562.1666667,712.0975823,1843,0,3456,432,700.8276739,1959,0,0,0,0,0,160,192,2013.808976,2589.182969,0,1460,473.3529412,647.5819389,419362.3676,2,2,0,3,15,0,0,0,1,502.9375,45.42857143,858.7777778,0,0,0,8047,7,3603672,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34870-8080-6,10.102.24.164,34870,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,3291,7,9,366,7729,366,0,52.28571429,138.3349971,1460,0,858.7777778,687.4092263,2459738.681,4861.744151,219.4,386.2489575,1492,0,3167,527.8333333,623.2711823,1754,0,3275,409.375,612.4365711,1592,0,0,0,0,0,160,192,2127.013066,2734.731085,0,1460,476.1764706,646.9665984,418565.7794,2,2,0,3,15,0,0,0,1,505.9375,52.28571429,858.7777778,0,0,0,8095,7,4366235,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34818-8080-6,10.102.24.164,34818,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34818-8080-6,10.102.24.164,34818,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34854-8080-6,10.102.24.164,34854,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,203,2,0,0,0,0,0,0,0,0,0,0,0,0,9852.216749,203,0,203,203,203,203,0,203,203,0,0,0,0,0,0,0,0,0,40,0,9852.216749,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34834-8080-6,10.102.24.164,34834,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,191,2,0,0,0,0,0,0,0,0,0,0,0,0,10471.20419,191,0,191,191,191,191,0,191,191,0,0,0,0,0,0,0,0,0,40,0,10471.20419,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-34870-8080-6,10.102.24.164,34870,10.102.24.100,8080,6,30/12/2023 03:46:48 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
