Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.24.164-10.102.24.100-60638-8080-6,10.102.24.164,60638,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,2445,7,4,396,4096,396,0,56.57142857,149.6739313,1460,0,1024,695.6704201,1837218.814,4498.977505,244.5,286.7326474,915,0,2445,407.5,419.0669398,1189,0,1115,371.6666667,643.7455501,1115,0,0,0,0,0,160,92,2862.985685,1635.99182,0,1460,374.3333333,612.1115961,374680.6061,0,2,1,2,10,0,0,0,0,408.3636364,56.57142857,1024,0,0,0,4492,4,16394160,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-60656-8080-6,10.102.24.164,60656,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,2577,7,5,384,4096,384,0,54.85714286,145.1383576,1460,0,819.2,756.7583498,1738455.568,4656.577416,234.2727273,284.6492898,760,0,2577,429.5,365.2055586,978,0,2369,592.25,709.7306414,1417,0,0,0,0,0,160,112,2716.336826,1940.24059,0,1460,344.6153846,595.1018874,354146.2564,1,2,1,2,10,0,0,0,0,373.3333333,54.85714286,819.2,0,0,0,4480,4,20550458,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-60672-8080-6,10.102.24.164,60672,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,1828,7,4,329,4096,329,0,47,124.3503116,1460,0,1024,695.6704201,2420678.337,6017.50547,182.8,255.5476907,805,0,1828,304.6666667,396.5751715,1058,0,817,272.3333333,471.6951699,817,0,0,0,0,0,160,92,3829.321663,2188.183807,0,1460,368.75,612.2015599,374790.75,0,2,1,2,10,0,0,0,0,402.2727273,47,1024,0,0,0,4425,4,17490118,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-60648-8080-6,10.102.24.164,60648,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,6988,7,9,330,7729,330,0,47.14285714,124.7282761,1460,0,858.7777778,687.4092263,1153262.736,2289.639382,465.8666667,941.269725,3709,0,2969,494.8333333,414.5703398,1199,0,6956,869.5,1324.020393,3709,0,0,0,0,0,160,192,1001.71723,1287.922152,0,1460,474.0588235,647.4085332,419137.8088,2,2,0,3,15,0,0,0,1,503.6875,47.14285714,858.7777778,0,0,0,8059,7,1416344,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-60688-8080-6,10.102.24.164,60688,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,2663,6,9,382,7729,382,0,63.66666667,155.950847,1460,0,858.7777778,687.4092263,3045812.993,5632.745024,190.2142857,289.734143,955,0,2375,475,494.6700921,1247,0,2642,330.25,531.3703981,1188,0,0,0,0,0,140,192,2253.09801,3379.647015,0,1460,506.9375,655.8403737,430126.5958,2,2,0,3,14,0,0,0,1,540.7333333,63.66666667,858.7777778,0,0,0,8111,7,5559287,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-60622-8080-6,10.102.24.164,60622,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,151696,7,10,423,7729,423,0,60.42857143,159.8789721,1460,0,772.9,702.6933028,53739.05706,112.0662377,9481,25176.7661,93573,0,143603,23933.83333,57180.10844,140642,0,151445,16827.22222,32784.4441,93573,0,0,0,0,0,160,212,46.14492142,65.92131632,0,1460,452.8888889,637.3070078,406160.2222,2,2,0,3,16,0,0,0,1,479.5294118,60.42857143,772.9,0,0,0,8152,7,54721,0,0,0,0,64240,1024,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-60696-8080-6,10.102.24.164,60696,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,2489,7,7,358,7729,358,0,51.14285714,135.3112813,1460,0,1104.142857,560.3309821,3249096.022,5624.748895,191.4615385,303.6715922,777,0,2489,414.8333333,715.2712539,1741,0,1650,275,444.5901483,1026,0,0,0,0,0,160,152,2812.374448,2812.374448,0,1460,539.1333333,664.7200127,441852.6952,1,2,1,3,12,0,0,0,1,577.6428571,51.14285714,1104.142857,0,0,0,8087,7,8389004,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-60648-8080-6,10.102.24.164,60648,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-60622-8080-6,10.102.24.164,60622,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,192,2,0,0,0,0,0,0,0,0,0,0,0,0,10416.66667,192,0,192,192,192,192,0,192,192,0,0,0,0,0,0,0,0,0,40,0,10416.66667,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-60688-8080-6,10.102.24.164,60688,10.102.24.100,8080,6,30/12/2023 02:54:00 下午,1028,2,0,0,0,0,0,0,0,0,0,0,0,0,1945.525292,1028,0,1028,1028,1028,1028,0,1028,1028,0,0,0,0,0,0,0,0,0,40,0,1945.525292,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
