Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.102.24.164-10.102.24.100-38202-8080-6,10.102.24.164,38202,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,9208,7,9,320,7729,320,0,45.71428571,120.9486314,1460,0,858.7777778,687.4092263,874131.1903,1737.619461,613.8666667,1208.032336,4693,0,4478,746.3333333,645.9175386,1823,0,9141,1142.625,1746.645106,4693,0,0,0,0,0,160,192,760.2085143,977.410947,0,1460,473.4705882,647.5521328,419323.7647,2,2,0,3,15,0,0,0,1,503.0625,45.71428571,858.7777778,0,0,0,8049,7,1098239,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-38202-8080-6,10.102.24.164,38202,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-38202-8080-6,10.102.24.164,38202,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-38208-8080-6,10.102.24.164,38208,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,4928,5,9,396,7729,396,0,79.2,177.0965838,1460,0,858.7777778,687.4092263,1648741.883,2840.909091,379.0769231,734.4076368,2497,0,4906,1226.5,1030.307559,2497,0,4891,611.375,1352.317158,3843,0,0,0,0,0,120,192,1014.61039,1826.298701,0,1460,541.6666667,664.0524578,440965.6667,2,2,0,3,13,0,0,0,1,580.3571429,79.2,858.7777778,0,0,0,8125,7,21103896,0,0,0,0,64240,1025,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-38208-8080-6,10.102.24.164,38208,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-38208-8080-6,10.102.24.164,38208,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,184,2,0,0,0,0,0,0,0,0,0,0,0,0,10869.56522,184,0,184,184,184,184,0,184,184,0,0,0,0,0,0,0,0,0,40,0,10869.56522,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-38234-8080-6,10.102.24.164,38234,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,4632,7,7,357,7729,357,0,51,134.9333169,1460,0,1104.142857,560.3309821,1745682.211,3022.452504,356.3076923,615.0070981,1906,0,4632,772,877.5677752,2215,0,2517,419.5,1015.362743,2492,0,0,0,0,0,160,152,1511.226252,1511.226252,0,1460,539.0666667,664.7395265,441878.6381,0,2,1,3,13,0,0,0,1,577.5714286,51,1104.142857,0,0,0,8086,7,26168284,0,0,0,0,64240,1025,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-38220-8080-6,10.102.24.164,38220,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,5676,6,7,386,7729,386,0,64.33333333,157.5838401,1460,0,1104.142857,560.3309821,1429704.017,2290.345314,473,924.82706,2864,0,5676,1135.2,1325.233262,2864,0,3790,631.6666667,1534.558916,3764,0,0,0,0,0,140,152,1057.082452,1233.262861,0,1460,579.6428571,671.5618543,450995.3242,0,2,1,3,12,0,0,0,1,624.2307692,64.33333333,1104.142857,0,0,0,8115,7,22731092,0,0,0,0,64240,8212,1,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-38220-8080-6,10.102.24.164,38220,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,208,2,0,0,0,0,0,0,0,0,0,0,0,0,9615.384615,208,0,208,208,208,208,0,208,208,0,0,0,0,0,0,0,0,0,40,0,9615.384615,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
10.102.24.164-10.102.24.100-38220-8080-6,10.102.24.164,38220,10.102.24.100,8080,6,30/12/2023 03:18:11 下午,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,Hulk
